iid	series	is_control	sra_path	tf
GSM2700606	GSE101276	False	SRR5832993,SRR5832994,SRR5832995,SRR5832996	H3K4me1
GSM2700604	GSE101275	False	SRR5832989	CBX2
GSM2700605	GSE101275	False	SRR5832990	CBX2
GSM2700603	GSE101274	False	SRR5832984,SRR5832985,SRR5832986,SRR5832987,SRR5832988	H3K27me3
GSM2700602	GSE101273	False	SRR5832991,SRR5832992	H3K27ac
GSM2700601	GSE101272	False	SRR5833105,SRR5833108,SRR5833107,SRR5833106	H3K27me3
GSM2700600	GSE101271	False	SRR5832982,SRR5832983	H3K4me3
GSM2700598	GSE101270	False	SRR5832980	CHD4
GSM2700599	GSE101270	False	SRR5832981	CHD4
GSM2700597	GSE101269	False	SRR5832974,SRR5832975	H3K27ac
GSM2700596	GSE101268	False	SRR5832970,SRR5832971,SRR5832972,SRR5832973	H3K36me3
GSM2700595	GSE101267	False	SRR5833137	H3K79me2
GSM2700593	GSE101266	False	SRR5832978	WDR5
GSM2700594	GSE101266	False	SRR5832979	WDR5
GSM2700592	GSE101265	False	SRR5832976,SRR5832977	H3K27ac
GSM2700591	GSE101264	False	SRR5832968,SRR5832969	H3K36me3
GSM2700589	GSE101263	False	SRR5832966	KMT2B
GSM2700590	GSE101263	False	SRR5832967	KMT2B
